date,papi-internal|gcp|production|es-client-stats-events-v2_fingerprinting
2021-07-03 18:34:00,999
2021-07-03 18:35:00,1051
2021-07-03 18:36:00,1169
2021-07-03 18:37:00,1087
2021-07-03 18:38:00,1027
2021-07-03 18:39:00,1044
2021-07-03 18:40:00,985
2021-07-03 18:41:00,1091
2021-07-03 18:42:00,1045
2021-07-03 18:43:00,994
2021-07-03 18:44:00,1054
2021-07-03 18:45:00,1007
2021-07-03 18:46:00,1029
2021-07-03 18:47:00,1099
2021-07-03 18:48:00,978
2021-07-03 18:49:00,1078
2021-07-03 18:50:00,1002
2021-07-03 18:51:00,1055
2021-07-03 18:52:00,984
2021-07-03 18:53:00,1069
2021-07-03 18:54:00,1091
2021-07-03 18:55:00,1007
2021-07-03 18:56:00,1155
2021-07-03 18:57:00,962
2021-07-03 18:58:00,1166
2021-07-03 18:59:00,940
2021-07-03 19:00:00,1107
2021-07-03 19:01:00,1043
2021-07-03 19:02:00,996
2021-07-03 19:03:00,1187
2021-07-03 19:04:00,881
2021-07-03 19:05:00,1189
2021-07-03 19:06:00,1038
2021-07-03 19:07:00,1144
2021-07-03 19:08:00,1152
2021-07-03 19:09:00,1139
2021-07-03 19:10:00,958
2021-07-03 19:11:00,1212
2021-07-03 19:12:00,1021
2021-07-03 19:13:00,1071
2021-07-03 19:14:00,1112
2021-07-03 19:15:00,1049
2021-07-03 19:16:00,1052
2021-07-03 19:17:00,976
2021-07-03 19:18:00,939
2021-07-03 19:19:00,1139
2021-07-03 19:20:00,1034
2021-07-03 19:21:00,960
2021-07-03 19:22:00,1063
2021-07-03 19:23:00,975
2021-07-03 19:24:00,1058
2021-07-03 19:25:00,1038
2021-07-03 19:26:00,1007
2021-07-03 19:27:00,1153
2021-07-03 19:28:00,1129
2021-07-03 19:29:00,873
2021-07-03 19:30:00,1164
2021-07-03 19:31:00,1087
2021-07-03 19:32:00,989
2021-07-03 19:33:00,915
2021-07-03 19:34:00,1032
2021-07-03 19:35:00,872
2021-07-03 19:36:00,1085
2021-07-03 19:37:00,1092
2021-07-03 19:38:00,1031
2021-07-03 19:39:00,1146
2021-07-03 19:40:00,1125
2021-07-03 19:41:00,980
2021-07-03 19:42:00,974
2021-07-03 19:43:00,1056
2021-07-03 19:44:00,878
2021-07-03 19:45:00,1024
2021-07-03 19:46:00,1077
2021-07-03 19:47:00,1073
2021-07-03 19:48:00,1134
2021-07-03 19:49:00,1088
